<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20121008,095959,158.10000,4620
GAZP,0,20121008,095959,158.10000,13600
GAZP,0,20121008,095959,158.10000,900
GAZP,0,20121008,095959,158.10000,1000
GAZP,0,20121008,095959,158.10000,10
GAZP,0,20121008,095959,158.10000,80
GAZP,0,20121008,095959,158.10000,350
GAZP,0,20121008,095959,158.10000,9440
GAZP,0,20121008,095959,158.10000,20
GAZP,0,20121008,095959,158.10000,10
GAZP,0,20121008,095959,158.10000,220
GAZP,0,20121008,095959,158.10000,30
GAZP,0,20121008,095959,158.10000,280
GAZP,0,20121008,095959,158.10000,170
GAZP,0,20121008,095959,158.10000,1760
GAZP,0,20121008,095959,158.10000,290
GAZP,0,20121008,095959,158.10000,10
GAZP,0,20121008,095959,158.10000,10
GAZP,0,20121008,095959,158.10000,10
GAZP,0,20121008,095959,158.10000,100
GAZP,0,20121008,095959,158.10000,400
GAZP,0,20121008,095959,158.10000,2700
GAZP,0,20121008,095959,158.10000,1000
GAZP,0,20121008,095959,158.10000,10
GAZP,0,20121008,095959,158.10000,1000
GAZP,0,20121008,095959,158.10000,50
GAZP,0,20121008,095959,158.10000,200
GAZP,0,20121008,095959,158.10000,500
GAZP,0,20121008,095959,158.10000,720
GAZP,0,20121008,095959,158.10000,1080
GAZP,0,20121008,095959,158.10000,700
GAZP,0,20121008,095959,158.10000,30
GAZP,0,20121008,095959,158.10000,700
GAZP,0,20121008,095959,158.10000,50
GAZP,0,20121008,095959,158.10000,200
GAZP,0,20121008,095959,158.10000,320
GAZP,0,20121008,095959,158.10000,10
GAZP,0,20121008,095959,158.10000,200
GAZP,0,20121008,095959,158.10000,270
GAZP,0,20121008,095959,158.10000,230
GAZP,0,20121008,095959,158.10000,20
GAZP,0,20121008,100001,158.10000,480
GAZP,0,20121008,100001,158.20000,150
GAZP,0,20121008,100001,158.11000,1800
GAZP,0,20121008,100001,158.12000,20
GAZP,0,20121008,100002,158.20000,850
GAZP,0,20121008,100002,158.20000,650
GAZP,0,20121008,100002,158.10000,350
GAZP,0,20121008,100002,158.09000,200
GAZP,0,20121008,100002,158.09000,450
GAZP,0,20121008,100002,158.20000,460
GAZP,0,20121008,100002,158.10000,330
GAZP,0,20121008,100002,158.09000,70
GAZP,0,20121008,100002,158.09000,100
GAZP,0,20121008,100002,158.19000,200
GAZP,0,20121008,100002,158.09000,140
GAZP,0,20121008,100002,158.09000,350
GAZP,0,20121008,100002,158.08000,1000
GAZP,0,20121008,100002,158.08000,150
GAZP,0,20121008,100002,158.08000,150
GAZP,0,20121008,100002,158.07000,210
GAZP,0,20121008,100002,158.07000,200
GAZP,0,20121008,100002,158.07000,1000
GAZP,0,20121008,100002,158.07000,1520
GAZP,0,20121008,100002,158.06000,20
GAZP,0,20121008,100002,158.06000,260
GAZP,0,20121008,100002,158.07000,450
GAZP,0,20121008,100002,158.07000,150
GAZP,0,20121008,100002,158.06000,30
GAZP,0,20121008,100002,158.12000,20
GAZP,0,20121008,100002,158.12000,20
GAZP,0,20121008,100002,158.17000,50
GAZP,0,20121008,100002,158.16000,10
GAZP,0,20121008,100002,158.10000,10
GAZP,0,20121008,100002,158.06000,190
GAZP,0,20121008,100002,158.06000,400
GAZP,0,20121008,100002,158.18000,10
GAZP,0,20121008,100002,158.07000,60
GAZP,0,20121008,100002,158.07000,200
GAZP,0,20121008,100002,158.06000,490
GAZP,0,20121008,100003,158.06000,10
GAZP,0,20121008,100003,158.06000,60
GAZP,0,20121008,100003,158.06000,1770
